Wilaya,Mean Temperature,Approximate Rainfall,Approximate Humidity,Year
Algiers,22.9,604,65,2011
Djelfa,19.4,303,49,2011
Jijel,24.0,917,72,2011
Setif,18.0,410,53,2011
Saida,20.8,270,41,2011
Skikda,22.9,698,64,2011
Sidi Bel Abbes,22.2,437,60,2011
Annaba,23.6,593,69,2011
Guelma,19.5,568,59,2011
Constantine,17.6,445,57,2011
Medea,19.0,390,45,2011
Mostaganem,23.3,310,65,2011
M'Sila,20.1,190,43,2011
Mascara,22.1,381,60,2011
Ouargla,28.0,49,21,2011
Oran,24.1,345,62,2011
El Bayadh,15.9,133,36,2011
Illizi,24.1,0,19,2011
Bordj Bou Arreridj,20.5,384,51,2011
Boumerdes,21.7,582,65,2011
El Tarf,22.8,793,65,2011
Tindouf,23.9,24,19,2011
Tissemsilt,17.9,370,52,2011
El Oued,25.9,55,24,2011
Khenchela,15.7,248,42,2011
Souk Ahras,21.7,597,57,2011
Tipaza,22.9,499,57,2011
Mila,18.1,434,54,2011
Ain Defla,21.6,389,47,2011
Naama,13.0,97,31,2011
Ain Temouchent,20.4,417,62,2011
Ghardaia,22.2,64,20,2011
Relizane,20.5,356,55,2011
Adrar,28.7,20,25,2010
Chlef,19.0,404,57,2010
Laghouat,22.0,213,42,2010
Oum El Bouaghi,16.8,340,59,2010
Batna,19.4,315,54,2010
Bejaia,23.7,784,75,2010
Biskra,23.2,130,34,2010
Bechar,23.8,53,27,2010
Blida,23.8,597,60,2010
Bouira,21.1,508,65,2010
Tamanrasset,27.0,21,20,2010
Tebessa,17.6,245,40,2010
Tlemcen,19.7,513,63,2010
Tiaret,19.6,344,52,2010
Tizi Ouzou,22.4,985,77,2010
Algiers,22.9,603,63,2010
Djelfa,18.6,294,48,2010
Jijel,23.1,915,66,2010
Setif,16.5,407,51,2010
Saida,18.9,269,45,2010
Skikda,24.5,690,60,2010
Sidi Bel Abbes,22.5,451,58,2010
Annaba,25.5,611,62,2010
Guelma,20.0,558,64,2010
Constantine,19.7,464,53,2010
Medea,19.2,402,47,2010
Mostaganem,24.2,286,57,2010
M'Sila,19.3,214,40,2010
Mascara,21.4,415,57,2010
Ouargla,28.6,43,22,2010
Oran,23.9,358,63,2010
El Bayadh,15.9,145,33,2010
Illizi,25.5,0,12,2010
Bordj Bou Arreridj,20.1,387,51,2010
Boumerdes,22.2,588,60,2010
El Tarf,23.1,805,70,2010
Tindouf,24.7,24,20,2010
Tissemsilt,19.1,366,46,2010
El Oued,25.1,32,23,2010
Khenchela,15.6,254,35,2010
Souk Ahras,18.8,584,61,2010
Tipaza,25.2,508,60,2010
Mila,20.7,470,52,2010
Ain Defla,18.4,399,54,2010
Naama,15.1,96,32,2010
Ain Temouchent,23.5,415,65,2010
Ghardaia,24.8,69,20,2010
Relizane,21.6,368,53,2010
