Wilaya,Mean Temperature,Approximate Rainfall,Approximate Humidity,Year
MOSTAGANEM,23.8,308,58,2023
M'SILA,21.3,181,41,2023
MASCARA,21.6,407,55,2023
OUARGLA,27.5,46,16,2023
ORAN,25.5,368,65,2023
EL BAYADH,17.3,143,40,2023
ILLIZI,27.8,6,16,2023
BORDJ BOU ARRERIDJ,18.9,417,50,2023
BOUMERDES,24.7,605,61,2023
EL TARF,22.5,803,65,2023
TINDOUF,25.8,40,15,2023
TISSEMSILT,17.0,330,54,2023
EL OUED,25.6,30,15,2023
KHENCHELA,16.8,239,45,2023
SOUK AHRAS,21.5,589,62,2023
TIPAZA,22.4,514,64,2023
MILA,19.7,451,59,2023
AIN DEFLA,19.0,399,48,2023
NAAMA,16.2,89,27,2023
AIN TEMOUCHENT,22.6,396,57,2023
GHARDAIA,22.2,30,24,2023
RELIZANE,20.0,354,55,2023
ADRAR,29.6,13,25,2022
CHLEF,23.9,407,60,2022
LAGHOUAT,21.3,184,44,2022
OUM EL BOUAGHI,17.4,333,53,2022
BATNA,16.6,311,52,2022
BEJAIA,22.4,813,73,2022
BISKRA,26.8,174,37,2022
BECHAR,25.8,40,26,2022
BLIDA,22.5,596,73,2022
BOUIRA,20.8,502,61,2022
TAMANRASSET,27.9,0,17,2022
TEBESSA,17.8,257,49,2022
TLEMCEN,20.8,474,54,2022
TIARET,18.2,345,52,2022
TIZI OUZOU,21.6,1029,74,2022
ALGIERS,26.1,607,57,2022
DJELFA,17.8,306,42,2022
JIJEL,21.7,925,69,2022
SETIF,19.0,386,52,2022
SAIDA,20.8,265,36,2022
SKIKDA,19.6,704,64,2022
SIDI BEL ABBES,18.1,480,55,2022
ANNABA,23.9,602,68,2022
GUELMA,17.4,535,66,2022
CONSTANTINE,21.7,466,58,2022
MEDEA,20.6,400,47,2022
MOSTAGANEM,22.7,302,63,2022
M'SILA,21.1,180,42,2022
MASCARA,19.8,402,54,2022
OUARGLA,26.8,38,15,2022
ORAN,26.6,365,62,2022
EL BAYADH,17.1,141,42,2022
ILLIZI,29.2,13,17,2022
BORDJ BOU ARRERIDJ,20.2,398,48,2022
BOUMERDES,25.5,610,65,2022
EL TARF,20.9,801,63,2022
TINDOUF,25.2,32,16,2022
TISSEMSILT,18.3,326,52,2022
EL OUED,26.4,15,18,2022
KHENCHELA,15.3,224,40,2022
SOUK AHRAS,22.8,585,64,2022
TIPAZA,20.7,509,64,2022
MILA,19.0,448,62,2022
AIN DEFLA,20.9,408,48,2022
NAAMA,16.8,71,29,2022
AIN TEMOUCHENT,21.7,408,52,2022
GHARDAIA,22.0,25,19,2022
RELIZANE,20.3,339,57,2022
ADRAR,30.2,0,30,2021
CHLEF,24.1,399,60,2021
LAGHOUAT,19.5,197,45,2021
OUM EL BOUAGHI,15.5,344,52,2021
BATNA,16.3,321,57,2021
BEJAIA,22.5,816,74,2021
BISKRA,28.7,158,37,2021
BECHAR,26.5,47,22,2021
BLIDA,23.8,588,68,2021
BOUIRA,20.2,493,65,2021
TAMANRASSET,27.7,1,19,2021
TEBESSA,16.2,271,51,2021
TLEMCEN,22.5,491,54,2021
TIARET,19.1,340,53,2021
TIZI OUZOU,20.2,1016,70,2021
ALGIERS,24.9,626,54,2021
DJELFA,17.0,301,38,2021
JIJEL,22.8,915,65,2021
SETIF,19.9,387,54,2021
SAIDA,21.4,263,37,2021
SKIKDA,19.7,701,69,2021
SIDI BEL ABBES,16.3,473,58,2021
ANNABA,24.8,591,72,2021
GUELMA,18.6,538,66,2021
CONSTANTINE,20.0,478,55,2021
MEDEA,21.0,400,51,2021
MOSTAGANEM,23.4,289,62,2021
M'SILA,23.0,188,44,2021
MASCARA,19.9,397,51,2021
OUARGLA,28.6,35,14,2021
ORAN,26.3,380,58,2021
EL BAYADH,19.0,133,37,2021
ILLIZI,30.4,30,12,2021
BORDJ BOU ARRERIDJ,21.8,406,53,2021
BOUMERDES,23.9,594,66,2021
EL TARF,20.4,787,58,2021
TINDOUF,23.3,16,20,2021
TISSEMSILT,19.6,312,57,2021
EL OUED,24.8,21,18,2021
KHENCHELA,16.0,230,37,2021
SOUK AHRAS,21.4,582,64,2021
TIPAZA,20.6,507,65,2021
MILA,18.6,438,65,2021
AIN DEFLA,19.2,401,44,2021
NAAMA,16.9,68,29,2021
AIN TEMOUCHENT,22.0,394,51,2021
GHARDAIA,20.6,10,15,2021
RELIZANE,22.2,356,56,2021
ADRAR,28.7,6,31,2020
CHLEF,23.5,400,56,2020
LAGHOUAT,18.5,181,49,2020
OUM EL BOUAGHI,16.4,331,53,2020
BATNA,17.0,332,57,2020
BEJAIA,24.0,810,73,2020
BISKRA,27.6,144,42,2020
BECHAR,25.6,59,26,2020
BLIDA,22.7,591,64,2020
BOUIRA,21.6,511,69,2020
TAMANRASSET,28.8,8,18,2020
TEBESSA,14.5,251,46,2020
TLEMCEN,21.1,494,50,2020
TIARET,19.7,325,55,2020
TIZI OUZOU,19.3,1006,71,2020
ALGIERS,24.1,628,56,2020
DJELFA,15.3,296,43,2020
JIJEL,23.5,934,68,2020
SETIF,20.3,378,59,2020
SAIDA,20.8,274,42,2020
SKIKDA,21.1,685,72,2020
SIDI BEL ABBES,17.4,479,56,2020
ANNABA,24.3,583,74,2020
GUELMA,19.0,534,64,2020
CONSTANTINE,20.4,487,60,2020
MEDEA,21.5,404,46,2020
MOSTAGANEM,21.7,269,64,2020
M'SILA,23.1,179,39,2020
MASCARA,19.6,405,46,2020
OUARGLA,29.5,26,16,2020
ORAN,26.0,370,55,2020
EL BAYADH,20.7,123,37,2020
ILLIZI,31.5,32,12,2020
BORDJ BOU ARRERIDJ,22.8,410,48,2020
BOUMERDES,23.7,605,66,2020
EL TARF,22.0,795,62,2020
TINDOUF,24.7,28,22,2020
TISSEMSILT,21.1,295,57,2020
EL OUED,23.7,7,20,2020
KHENCHELA,16.1,227,40,2020
SOUK AHRAS,20.7,579,61,2020
TIPAZA,21.8,488,62,2020
MILA,19.5,458,65,2020
AIN DEFLA,18.0,390,49,2020
NAAMA,18.1,86,29,2020
AIN TEMOUCHENT,22.4,400,50,2020
GHARDAIA,21.6,15,10,2020
RELIZANE,23.4,340,60,2020
ADRAR,30.2,25,26,2019
CHLEF,22.8,380,61,2019
LAGHOUAT,19.9,167,50,2019
OUM EL BOUAGHI,15.8,336,48,2019
BATNA,15.8,330,61,2019
BEJAIA,25.0,801,69,2019
BISKRA,27.9,133,43,2019
BECHAR,27.3,57,30,2019
BLIDA,21.6,584,59,2019
BOUIRA,22.7,496,73,2019
TAMANRASSET,29.3,14,20,2019
TEBESSA,15.2,248,49,2019
TLEMCEN,20.5,501,53,2019
TIARET,20.7,317,50,2019
TIZI OUZOU,19.2,1014,70,2019
ALGIERS,25.6,629,60,2019
DJELFA,15.2,288,40,2019
JIJEL,24.6,943,65,2019
SETIF,19.8,389,63,2019
SAIDA,20.1,285,46,2019
SKIKDA,21.6,683,76,2019
SIDI BEL ABBES,16.9,479,51,2019
ANNABA,24.0,589,74,2019
GUELMA,17.6,543,61,2019
CONSTANTINE,20.0,500,64,2019
MEDEA,21.3,405,41,2019
MOSTAGANEM,19.9,286,63,2019
M'SILA,23.0,179,34,2019
MASCARA,20.7,409,46,2019
OUARGLA,28.0,17,13,2019
ORAN,26.1,379,55,2019
EL BAYADH,22.3,137,36,2019
ILLIZI,32.9,13,7,2019
BORDJ BOU ARRERIDJ,23.8,427,50,2019
BOUMERDES,22.4,617,65,2019
EL TARF,20.9,780,62,2019
TINDOUF,25.5,28,21,2019
TISSEMSILT,23.1,278,52,2019
EL OUED,22.8,4,25,2019
KHENCHELA,16.0,229,35,2019
SOUK AHRAS,19.7,574,65,2019
TIPAZA,22.5,469,65,2019
MILA,18.8,465,68,2019
AIN DEFLA,19.4,382,52,2019
NAAMA,18.6,76,34,2019
AIN TEMOUCHENT,20.9,412,48,2019
GHARDAIA,21.6,5,15,2019
RELIZANE,24.6,336,57,2019
ADRAR,30.7,38,29,2018
CHLEF,24.1,365,57,2018
LAGHOUAT,18.6,160,51,2018
OUM EL BOUAGHI,17.4,349,43,2018
BATNA,15.5,336,61,2018
BEJAIA,24.5,818,73,2018
BISKRA,28.5,115,39,2018
BECHAR,26.6,57,32,2018
BLIDA,21.0,571,58,2018
BOUIRA,23.7,516,75,2018
TAMANRASSET,28.8,22,16,2018
TEBESSA,15.3,264,49,2018
TLEMCEN,19.7,517,51,2018
TIARET,20.2,308,49,2018
TIZI OUZOU,20.0,1013,65,2018
ALGIERS,25.7,646,57,2018
DJELFA,16.8,298,42,2018
JIJEL,24.5,961,67,2018
SETIF,19.5,380,61,2018
SAIDA,22.0,292,43,2018
SKIKDA,21.0,691,75,2018
SIDI BEL ABBES,15.5,471,48,2018
ANNABA,24.4,596,75,2018
GUELMA,17.6,536,56,2018
CONSTANTINE,19.3,488,60,2018
MEDEA,21.3,391,41,2018
MOSTAGANEM,19.1,303,63,2018
M'SILA,22.5,165,29,2018
MASCARA,22.1,402,45,2018
OUARGLA,27.4,0,15,2018
ORAN,27.5,375,54,2018
EL BAYADH,22.1,124,41,2018
ILLIZI,34.5,19,2,2018
BORDJ BOU ARRERIDJ,21.8,441,48,2018
BOUMERDES,23.1,609,68,2018
EL TARF,22.4,772,66,2018
TINDOUF,25.0,35,17,2018
TISSEMSILT,22.4,288,52,2018
EL OUED,24.0,16,23,2018
KHENCHELA,17.9,234,39,2018
SOUK AHRAS,21.4,591,67,2018
TIPAZA,20.7,485,68,2018
MILA,19.8,482,73,2018
AIN DEFLA,17.4,367,56,2018
NAAMA,17.3,61,33,2018
AIN TEMOUCHENT,19.7,407,46,2018
GHARDAIA,22.6,0,14,2018
RELIZANE,25.4,327,52,2018
ADRAR,31.0,46,31,2017
CHLEF,26.1,383,52,2017
LAGHOUAT,17.3,166,56,2017
OUM EL BOUAGHI,18.7,345,43,2017
BATNA,14.7,325,66,2017
BEJAIA,22.6,821,69,2017
BISKRA,28.3,107,41,2017
BECHAR,26.1,77,34,2017
BLIDA,20.3,591,54,2017
BOUIRA,25.6,514,78,2017
TAMANRASSET,27.8,3,18,2017
TEBESSA,14.6,266,44,2017
TLEMCEN,21.6,497,53,2017
TIARET,20.3,322,46,2017
TIZI OUZOU,20.6,997,61,2017
ALGIERS,24.5,647,53,2017
DJELFA,16.4,302,46,2017
JIJEL,22.5,968,72,2017
SETIF,20.0,360,64,2017
SAIDA,20.4,277,47,2017
SKIKDA,19.4,710,71,2017
SIDI BEL ABBES,17.0,488,52,2017
ANNABA,22.9,606,73,2017
GUELMA,16.6,529,59,2017
CONSTANTINE,19.2,486,65,2017
MEDEA,19.8,389,43,2017
MOSTAGANEM,17.9,302,68,2017
M'SILA,23.4,149,30,2017
MASCARA,22.1,411,48,2017
OUARGLA,28.2,17,12,2017
ORAN,27.2,385,51,2017
EL BAYADH,21.5,124,41,2017
ILLIZI,33.7,34,0,2017
BORDJ BOU ARRERIDJ,19.8,433,46,2017
BOUMERDES,24.2,595,66,2017
EL TARF,22.8,784,68,2017
TINDOUF,26.5,38,20,2017
TISSEMSILT,23.9,274,53,2017
EL OUED,24.2,10,27,2017
KHENCHELA,16.2,217,41,2017
SOUK AHRAS,20.8,573,70,2017
TIPAZA,19.3,468,64,2017
MILA,19.5,463,69,2017
AIN DEFLA,17.9,370,58,2017
NAAMA,17.8,68,34,2017
AIN TEMOUCHENT,20.6,393,43,2017
GHARDAIA,21.7,0,18,2017
RELIZANE,25.6,326,52,2017
ADRAR,30.7,52,36,2016
CHLEF,26.7,372,48,2016
LAGHOUAT,16.8,166,61,2016
OUM EL BOUAGHI,18.3,365,43,2016
BATNA,14.5,326,66,2016
BEJAIA,23.0,837,67,2016
BISKRA,28.8,101,43,2016
BECHAR,27.8,97,29,2016
BLIDA,21.0,578,57,2016
BOUIRA,26.3,512,80,2016
TAMANRASSET,28.9,23,13,2016
TEBESSA,13.5,286,43,2016
TLEMCEN,20.4,498,48,2016
TIARET,21.4,311,50,2016
TIZI OUZOU,21.3,977,57,2016
ALGIERS,23.2,631,52,2016
DJELFA,17.6,293,41,2016
JIJEL,23.8,949,71,2016
SETIF,18.2,357,60,2016
SAIDA,18.6,276,43,2016
SKIKDA,18.8,719,73,2016
SIDI BEL ABBES,18.8,503,53,2016
ANNABA,23.0,602,68,2016
GUELMA,17.0,532,64,2016
CONSTANTINE,17.3,481,65,2016
MEDEA,19.1,401,43,2016
MOSTAGANEM,17.8,315,65,2016
M'SILA,25.2,149,33,2016
MASCARA,21.4,429,49,2016
OUARGLA,28.3,17,13,2016
ORAN,28.5,375,47,2016
EL BAYADH,20.4,109,37,2016
ILLIZI,33.8,52,0,2016
BORDJ BOU ARRERIDJ,18.9,425,47,2016
BOUMERDES,22.6,598,69,2016
EL TARF,21.4,776,68,2016
TINDOUF,26.5,53,25,2016
TISSEMSILT,23.8,264,58,2016
EL OUED,24.3,0,24,2016
KHENCHELA,16.3,214,38,2016
SOUK AHRAS,21.4,593,71,2016
TIPAZA,17.8,466,63,2016
MILA,19.6,454,72,2016
AIN DEFLA,18.1,386,57,2016
NAAMA,16.5,61,32,2016
AIN TEMOUCHENT,19.2,379,44,2016
GHARDAIA,22.4,11,17,2016
RELIZANE,24.3,324,52,2016
ADRAR,32.5,46,34,2015
CHLEF,26.7,356,53,2015
LAGHOUAT,17.5,181,61,2015
OUM EL BOUAGHI,17.4,364,47,2015
BATNA,14.3,318,64,2015
BEJAIA,22.0,838,66,2015
BISKRA,30.1,95,44,2015
BECHAR,26.2,95,30,2015
BLIDA,19.9,580,54,2015
BOUIRA,27.2,529,79,2015
TAMANRASSET,27.7,4,18,2015
TEBESSA,12.5,291,48,2015
TLEMCEN,21.5,493,51,2015
TIARET,20.3,319,45,2015
TIZI OUZOU,23.2,993,55,2015
ALGIERS,23.7,629,57,2015
DJELFA,18.7,278,39,2015
JIJEL,23.1,959,69,2015
SETIF,19.9,360,58,2015
SAIDA,20.2,295,40,2015
SKIKDA,17.8,729,76,2015
SIDI BEL ABBES,18.9,499,50,2015
ANNABA,21.6,617,70,2015
GUELMA,16.1,547,59,2015
CONSTANTINE,18.5,482,63,2015
MEDEA,20.9,387,42,2015
MOSTAGANEM,17.5,300,69,2015
M'SILA,24.3,146,31,2015
MASCARA,20.0,418,48,2015
OUARGLA,26.5,31,16,2015
ORAN,26.8,367,51,2015
EL BAYADH,21.4,108,33,2015
ILLIZI,35.2,50,0,2015
BORDJ BOU ARRERIDJ,20.0,439,46,2015
BOUMERDES,23.1,613,67,2015
EL TARF,22.0,776,73,2015
TINDOUF,28.2,59,21,2015
TISSEMSILT,22.0,252,62,2015
EL OUED,24.1,9,21,2015
KHENCHELA,18.1,199,43,2015
SOUK AHRAS,21.6,596,76,2015
TIPAZA,18.2,460,67,2015
MILA,19.0,438,68,2015
AIN DEFLA,19.7,379,53,2015
NAAMA,16.2,66,31,2015
AIN TEMOUCHENT,19.0,380,48,2015
GHARDAIA,23.6,1,16,2015
RELIZANE,22.9,316,50,2015
ADRAR,31.9,56,33,2014
CHLEF,24.8,368,52,2014
LAGHOUAT,17.3,168,58,2014
OUM EL BOUAGHI,17.7,379,47,2014
BATNA,15.6,327,65,2014
BEJAIA,21.8,827,65,2014
BISKRA,31.9,95,49,2014
BECHAR,27.2,113,26,2014
BLIDA,18.6,582,56,2014
BOUIRA,28.4,539,76,2014
TAMANRASSET,26.6,0,16,2014
TEBESSA,13.1,290,51,2014
TLEMCEN,20.1,495,50,2014
TIARET,20.3,306,43,2014
TIZI OUZOU,23.6,985,58,2014
ALGIERS,23.2,619,60,2014
DJELFA,17.9,291,38,2014
JIJEL,23.6,971,64,2014
SETIF,18.6,380,58,2014
SAIDA,21.0,297,41,2014
SKIKDA,16.6,745,80,2014
SIDI BEL ABBES,20.3,482,55,2014
ANNABA,21.2,616,66,2014
GUELMA,17.9,548,64,2014
CONSTANTINE,16.7,470,65,2014
MEDEA,20.0,407,43,2014
MOSTAGANEM,18.1,291,67,2014
M'SILA,22.7,152,30,2014
MASCARA,22.0,414,53,2014
OUARGLA,28.0,11,18,2014
ORAN,26.5,368,51,2014
EL BAYADH,22.7,100,34,2014
ILLIZI,34.3,70,0,2014
BORDJ BOU ARRERIDJ,18.9,448,47,2014
BOUMERDES,21.9,629,65,2014
EL TARF,22.3,767,71,2014
TINDOUF,26.3,58,16,2014
TISSEMSILT,20.6,270,62,2014
EL OUED,24.0,0,23,2014
KHENCHELA,20.0,206,48,2014
SOUK AHRAS,20.7,577,80,2014
TIPAZA,18.8,440,67,2014
MILA,18.3,455,70,2014
AIN DEFLA,21.6,370,52,2014
NAAMA,16.7,60,30,2014
AIN TEMOUCHENT,19.4,400,53,2014
GHARDAIA,22.2,20,15,2014
RELIZANE,22.5,319,51,2014
ADRAR,33.2,41,38,2013
CHLEF,25.8,386,49,2013
LAGHOUAT,18.7,165,63,2013
OUM EL BOUAGHI,16.6,393,48,2013
BATNA,17.0,337,67,2013
BEJAIA,20.9,831,70,2013
BISKRA,30.0,89,51,2013
BECHAR,26.8,94,26,2013
BLIDA,18.4,591,51,2013
BOUIRA,30.1,536,81,2013
TAMANRASSET,25.2,8,16,2013
TEBESSA,12.1,285,52,2013
TLEMCEN,19.3,490,54,2013
TIARET,18.4,301,42,2013
TIZI OUZOU,23.3,998,57,2013
ALGIERS,23.4,620,65,2013
DJELFA,17.1,289,41,2013
JIJEL,24.9,990,60,2013
SETIF,18.3,384,53,2013
SAIDA,20.9,278,45,2013
SKIKDA,16.0,751,84,2013
SIDI BEL ABBES,18.6,464,56,2013
ANNABA,21.2,634,61,2013
GUELMA,16.7,532,64,2013
CONSTANTINE,18.7,481,62,2013
MEDEA,20.0,421,48,2013
MOSTAGANEM,19.6,271,63,2013
M'SILA,23.9,148,30,2013
MASCARA,20.8,416,51,2013
OUARGLA,28.8,3,14,2013
ORAN,28.3,350,53,2013
EL BAYADH,21.8,88,36,2013
ILLIZI,35.8,62,0,2013
BORDJ BOU ARRERIDJ,18.9,436,43,2013
BOUMERDES,22.2,635,69,2013
EL TARF,21.6,786,69,2013
TINDOUF,27.7,38,15,2013
TISSEMSILT,21.2,261,57,2013
EL OUED,24.1,5,18,2013
KHENCHELA,20.9,224,49,2013
SOUK AHRAS,19.2,593,76,2013
TIPAZA,17.4,460,64,2013
MILA,16.8,452,66,2013
AIN DEFLA,23.1,353,52,2013
NAAMA,17.5,57,35,2013
AIN TEMOUCHENT,18.6,420,52,2013
GHARDAIA,21.1,26,20,2013
RELIZANE,23.9,302,46,2013
ADRAR,27.0,0,25,2012
CHLEF,19.9,384,62,2012
LAGHOUAT,21.9,217,35,2012
OUM EL BOUAGHI,16.5,356,51,2012
BATNA,18.5,314,50,2012
BEJAIA,20.2,786,65,2012
BISKRA,23.9,134,30,2012
BECHAR,23.7,65,27,2012
BLIDA,24.1,587,69,2012
BOUIRA,19.0,516,57,2012
TAMANRASSET,26.4,27,11,2012
TEBESSA,18.0,249,41,2012
TLEMCEN,21.1,502,61,2012
TIARET,20.8,353,50,2012
TIZI OUZOU,22.7,986,71,2012
ALGIERS,22.9,605,63,2012
DJELFA,16.6,303,46,2012
JIJEL,24.9,915,70,2012
SETIF,17.7,383,58,2012
SAIDA,20.9,236,40,2012
SKIKDA,22.7,692,70,2012
SIDI BEL ABBES,19.8,455,57,2012
ANNABA,23.2,582,61,2012
GUELMA,19.9,567,60,2012
CONSTANTINE,20.8,461,59,2012
MEDEA,17.0,418,53,2012
MOSTAGANEM,23.9,315,56,2012
M'SILA,22.1,184,41,2012
MASCARA,21.4,417,55,2012
OUARGLA,28.9,46,22,2012
ORAN,24.0,354,60,2012
EL BAYADH,14.2,132,36,2012
ILLIZI,25.8,0,12,2012
BORDJ BOU ARRERIDJ,19.8,397,60,2012
BOUMERDES,22.8,595,60,2012
EL TARF,20.7,805,65,2012
TINDOUF,25.1,27,15,2012
TISSEMSILT,17.7,369,48,2012
EL OUED,27.8,23,19,2012
KHENCHELA,17.4,263,37,2012
SOUK AHRAS,19.9,604,61,2012
TIPAZA,22.1,492,55,2012
MILA,19.0,452,57,2012
AIN DEFLA,21.7,415,54,2012
NAAMA,13.4,85,30,2012
AIN TEMOUCHENT,21.1,391,62,2012
GHARDAIA,22.4,46,30,2012
RELIZANE,23.4,357,59,2012
ADRAR,27.2,30,25,2011
CHLEF,20.6,388,56,2011
LAGHOUAT,21.8,186,40,2011
OUM EL BOUAGHI,16.7,334,60,2011
BATNA,20.1,311,52,2011
BEJAIA,21.4,799,65,2011
BISKRA,24.6,136,32,2011
BECHAR,24.3,68,30,2011
BLIDA,21.9,619,68,2011
BOUIRA,21.9,515,61,2011
TAMANRASSET,26.9,22,12,2011
TEBESSA,16.9,254,44,2011
TLEMCEN,21.9,489,55,2011
TIARET,20.4,369,53,2011
TIZI OUZOU,20.8,1001,71,2011
ALGIERS,22.9,604,65,2011
DJELFA,19.4,303,49,2011
JIJEL,24.0,917,72,2011
SETIF,18.0,410,53,2011
SAIDA,20.8,270,41,2011
SKIKDA,22.9,698,64,2011
SIDI BEL ABBES,22.2,437,60,2011
ANNABA,23.6,593,69,2011
GUELMA,19.5,568,59,2011
CONSTANTINE,17.6,445,57,2011
MEDEA,19.0,390,45,2011
MOSTAGANEM,23.3,310,65,2011
M'SILA,20.1,190,43,2011
MASCARA,22.1,381,60,2011
OUARGLA,28.0,49,21,2011
ORAN,24.1,345,62,2011
EL BAYADH,15.9,133,36,2011
ILLIZI,24.1,0,19,2011
BORDJ BOU ARRERIDJ,20.5,384,51,2011
BOUMERDES,21.7,582,65,2011
EL TARF,22.8,793,65,2011
TINDOUF,23.9,24,19,2011
TISSEMSILT,17.9,370,52,2011
EL OUED,25.9,55,24,2011
KHENCHELA,15.7,248,42,2011
SOUK AHRAS,21.7,597,57,2011
TIPAZA,22.9,499,57,2011
MILA,18.1,434,54,2011
AIN DEFLA,21.6,389,47,2011
NAAMA,13.0,97,31,2011
AIN TEMOUCHENT,20.4,417,62,2011
GHARDAIA,22.2,64,20,2011
RELIZANE,20.5,356,55,2011
ADRAR,28.7,20,25,2010
CHLEF,19.0,404,57,2010
LAGHOUAT,22.0,213,42,2010
OUM EL BOUAGHI,16.8,340,59,2010
BATNA,19.4,315,54,2010
BEJAIA,23.7,784,75,2010
BISKRA,23.2,130,34,2010
BECHAR,23.8,53,27,2010
BLIDA,23.8,597,60,2010
BOUIRA,21.1,508,65,2010
TAMANRASSET,27.0,21,20,2010
TEBESSA,17.6,245,40,2010
TLEMCEN,19.7,513,63,2010
TIARET,19.6,344,52,2010
TIZI OUZOU,22.4,985,77,2010
ALGIERS,22.9,603,63,2010
DJELFA,18.6,294,48,2010
JIJEL,23.1,915,66,2010
SETIF,16.5,407,51,2010
SAIDA,18.9,269,45,2010
SKIKDA,24.5,690,60,2010
SIDI BEL ABBES,22.5,451,58,2010
ANNABA,25.5,611,62,2010
GUELMA,20.0,558,64,2010
CONSTANTINE,19.7,464,53,2010
MEDEA,19.2,402,47,2010
MOSTAGANEM,24.2,286,57,2010
M'SILA,19.3,214,40,2010
MASCARA,21.4,415,57,2010
OUARGLA,28.6,43,22,2010
ORAN,23.9,358,63,2010
EL BAYADH,15.9,145,33,2010
ILLIZI,25.5,0,12,2010
BORDJ BOU ARRERIDJ,20.1,387,51,2010
BOUMERDES,22.2,588,60,2010
EL TARF,23.1,805,70,2010
TINDOUF,24.7,24,20,2010
TISSEMSILT,19.1,366,46,2010
EL OUED,25.1,32,23,2010
KHENCHELA,15.6,254,35,2010
SOUK AHRAS,18.8,584,61,2010
TIPAZA,25.2,508,60,2010
MILA,20.7,470,52,2010
AIN DEFLA,18.4,399,54,2010
NAAMA,15.1,96,32,2010
AIN TEMOUCHENT,23.5,415,65,2010
GHARDAIA,24.8,69,20,2010
RELIZANE,21.6,368,53,2010
